href,title,path,region,sub_region,type,crs,base_year,year_range,cellsize_cm,gsd,s3,https,collection_id,collection_title,collection_description,license,links_count
./manawatu-whanganui/manawatu-whanganui_2023-2024_0.2m/rgbnir/2193/collection.json,Manawatū-Whanganui 0.2m Near-Infrared Aerial Photos (2023-2024),manawatu-whanganui/manawatu-whanganui_2023-2024_0.2m,manawatu whanganui,manawatu whanganui,rgbnir,2193,2023,2023-2024,20.0,0.2m,s3://nz-imagery/manawatu-whanganui/manawatu-whanganui_2023-2024_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/manawatu-whanganui/manawatu-whanganui_2023-2024_0.2m/rgbnir/2193/,01KM4F5PSQHKR1WYSHCZ4G4M2X,Manawatū-Whanganui 0.2m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Manawatū-Whanganui region captured in the 2023-2024 flying season.,CC-BY-4.0,400
./waikato/waikato_2021-2023_0.3m/rgbnir/2193/collection.json,Waikato 0.3m Near-Infrared Aerial Photos (2021-2024),waikato/waikato_2021-2023_0.3m,waikato,waikato,rgbnir,2193,2021,2021-2023,30.0,0.3m,s3://nz-imagery/waikato/waikato_2021-2023_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/waikato/waikato_2021-2023_0.3m/rgbnir/2193/,01KNTQZQWJNBKZP2TTWXQ83CQK,Waikato 0.3m Near-Infrared Aerial Photos (2021-2024),Near-infrared orthophotography within the Waikato region captured in the 2021-2024 flying season.,CC-BY-4.0,990
./hawkes-bay/wairoa-flood_2024_0.1m/rgbnir/2193/collection.json,Wairoa Flood 0.1m Near-Infrared Aerial Photos (2024),hawkes-bay/wairoa-flood_2024_0.1m,hawkes bay,wairoa flood,rgbnir,2193,2024,2024,10.0,0.1m,s3://nz-imagery/hawkes-bay/wairoa-flood_2024_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/wairoa-flood_2024_0.1m/rgbnir/2193/,01KJRM6T89DCMXPZ4R8Q04SHF3,Wairoa Flood 0.1m Near-Infrared Aerial Photos (2024),"Near-infrared orthophotography within the Hawke's Bay region captured in the 2024 flying season, published as a record of the Wairoa Flood event.",CC-BY-4.0,9
./hawkes-bay/napier_2024-2025_0.05m/rgbnir/2193/collection.json,Napier 0.05m Near-Infrared Aerial Photos (2024-2025),hawkes-bay/napier_2024-2025_0.05m,hawkes bay,napier,rgbnir,2193,2024,2024-2025,5.0,0.05m,s3://nz-imagery/hawkes-bay/napier_2024-2025_0.05m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/napier_2024-2025_0.05m/rgbnir/2193/,01KMP9DGTB1ANMHX8JB3MENSSN,Napier 0.05m Near-Infrared Aerial Photos (2024-2025),Near-infrared orthophotography within the Hawke's Bay region captured in the 2024-2025 flying season.,CC-BY-4.0,167
./hawkes-bay/hawkes-bay_2024-2025_0.1m/rgbnir/2193/collection.json,Hawke's Bay 0.1m Near-Infrared Aerial Photos (2024-2025),hawkes-bay/hawkes-bay_2024-2025_0.1m,hawkes bay,hawkes bay,rgbnir,2193,2024,2024-2025,10.0,0.1m,s3://nz-imagery/hawkes-bay/hawkes-bay_2024-2025_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay_2024-2025_0.1m/rgbnir/2193/,01KMBT6MAQPM41FP1S98KK76CV,Hawke's Bay 0.1m Near-Infrared Aerial Photos (2024-2025),Near-infrared orthophotography within the Hawke's Bay region captured in the 2024-2025 flying season.,CC-BY-4.0,170
./wellington/porirua_2024_0.1m/rgbnir/2193/collection.json,Porirua 0.1m Near-Infrared Aerial Photos (2024),wellington/porirua_2024_0.1m,wellington,porirua,rgbnir,2193,2024,2024,10.0,0.1m,s3://nz-imagery/wellington/porirua_2024_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/porirua_2024_0.1m/rgbnir/2193/,01KN3J9G6CTH0M46XMQHRGXE6W,Porirua 0.1m Near-Infrared Aerial Photos (2024),Near-infrared orthophotography within the Wellington region captured in the 2024 flying season.,CC-BY-4.0,41
./hawkes-bay/hawkes-bay_2023-2024_0.25m/rgbnir/2193/collection.json,Hawke's Bay 0.25m Near-Infrared Aerial Photos (2023-2025),hawkes-bay/hawkes-bay_2023-2024_0.25m,hawkes bay,hawkes bay,rgbnir,2193,2023,2023-2024,25.0,0.25m,s3://nz-imagery/hawkes-bay/hawkes-bay_2023-2024_0.25m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay_2023-2024_0.25m/rgbnir/2193/,01KJ43GHMWRGYDA3D4BESCGQX7,Hawke's Bay 0.25m Near-Infrared Aerial Photos (2023-2025),Near-infrared orthophotography within the Hawke's Bay region captured in the 2023-2025 flying season.,CC-BY-4.0,527
./hawkes-bay/hawkes-bay_2023-2024_0.125m/rgbnir/2193/collection.json,Hawke's Bay 0.125m Near-Infrared Aerial Photos (2023-2024),hawkes-bay/hawkes-bay_2023-2024_0.125m,hawkes bay,hawkes bay,rgbnir,2193,2023,2023-2024,12.5,0.125m,s3://nz-imagery/hawkes-bay/hawkes-bay_2023-2024_0.125m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay_2023-2024_0.125m/rgbnir/2193/,01KN5Z8ZA447MHKQ9YVV67CDGB,Hawke's Bay 0.125m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Hawke's Bay region captured in the 2023-2024 flying season.,CC-BY-4.0,1836
./hawkes-bay/hawkes-bay_2021-2022_0.3m/rgbnir/2193/collection.json,Hawke's Bay 0.3m Near-Infrared Aerial Photos (2021-2022),hawkes-bay/hawkes-bay_2021-2022_0.3m,hawkes bay,hawkes bay,rgbnir,2193,2021,2021-2022,30.0,0.3m,s3://nz-imagery/hawkes-bay/hawkes-bay_2021-2022_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay_2021-2022_0.3m/rgbnir/2193/,01KNTK5STTTYYMERV8DSXD93TC,Hawke's Bay 0.3m Near-Infrared Aerial Photos (2021-2022),Near-infrared orthophotography within the Hawke's Bay region captured in the 2021-2022 flying season.,CC-BY-4.0,499
./wellington/south-wairarapa_2025_0.075m/rgbnir/2193/collection.json,South Wairarapa 0.075m Near-Infrared Aerial Photos (2025),wellington/south-wairarapa_2025_0.075m,wellington,south wairarapa,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/wellington/south-wairarapa_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/south-wairarapa_2025_0.075m/rgbnir/2193/,01KG39HFJ8RYYKYN9EBJZEXK1D,South Wairarapa 0.075m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Wellington region captured in the 2025 flying season.,CC-BY-4.0,226
